alpha,sigma,epsilon,replication,episode,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,mean_reward
0.4,0.2,0.25,0,0,-0.47292313,-0.16331977,-0.64561796,-0.26002344,-0.38547107577323914
0.4,0.2,0.25,0,1,-0.515406,-0.18124537,-0.6686804,-0.29584208,-0.41529348492622375
0.4,0.2,0.5,0,0,-0.13015656,-0.0658238,-0.17984709,-0.38012317,-0.18898765742778778
0.4,0.2,0.5,0,1,-0.14283057,-0.039199017,-0.15294652,-0.36365062,-0.1746566742658615
0.4,0.2,0.75,0,0,-0.28522632,-0.5554955,-0.64446557,-0.54931945,-0.5086266994476318
0.4,0.2,0.75,0,1,-0.44016713,-0.585636,-0.7039146,-0.67799544,-0.6019282937049866
0.4,0.2,1.0,0,0,-0.45598128,-0.149706,-0.24086961,-0.029603714,-0.2190401554107666
0.4,0.2,1.0,0,1,-0.57317436,-0.27398127,-0.3756166,-0.21139364,-0.35854145884513855
0.4,0.4,0.0,0,0,-0.3840208,-0.66882265,-0.66417176,-1.3738372,-0.7727131247520447
0.4,0.4,0.0,0,1,-0.16034542,-0.4967215,-0.5072179,-1.1417556,-0.5765100717544556
0.4,0.4,0.25,0,0,-0.62913245,-0.9451662,-0.96842134,-0.5250545,-0.7669435739517212
0.4,0.4,0.25,0,1,-0.3110305,-0.5456239,-0.69607896,-0.29843035,-0.46279093623161316
0.4,0.4,0.5,0,0,-1.3639035,-0.7639324,-1.3195331,-0.41530338,-0.9656681418418884
0.4,0.4,0.5,0,1,-0.99609137,-0.55011994,-1.0770845,-0.062193222,-0.6713722348213196
0.4,0.4,0.75,0,0,-1.0458694,-0.96981955,-0.36803514,-0.1601111,-0.6359587907791138
0.4,0.4,0.75,0,1,-1.054871,-0.99427193,-0.3773308,-0.17312309,-0.6498991847038269
0.4,0.4,1.0,0,0,-0.45060086,-0.35967296,-0.4313084,-0.7571883,-0.4996926188468933
0.4,0.4,1.0,0,1,-0.5070064,-0.5012731,-0.5645364,-0.9116657,-0.6211203932762146
0.4,0.6,0.0,0,0,-0.5628121,-0.5649492,-2.0483227,-2.1560404,-1.333031177520752
0.4,0.6,0.0,0,1,-0.38840467,-0.43929207,-1.8279898,-1.9465077,-1.1505485773086548
0.4,0.6,0.25,0,0,-1.6341449,-2.4397843,-1.5640831,-0.7870208,-1.6062582731246948
0.4,0.6,0.25,0,1,-1.5973734,-2.4641218,-1.415541,-0.9659479,-1.610746145248413
0.4,0.6,0.5,0,0,-1.160226,-0.8370975,-0.98323053,-0.8728702,-0.963356077671051
0.4,0.6,0.5,0,1,-1.3648696,-1.3089187,-1.4221551,-1.1827121,-1.3196638822555542
0.4,0.6,0.75,0,0,-0.88998765,-0.7025978,-0.93978995,-1.4080837,-0.9851147532463074
0.4,0.6,0.75,0,1,-0.7876044,-0.5863795,-0.8157972,-1.3364302,-0.8815528154373169
0.4,0.6,1.0,0,0,-1.6614343,-0.8350239,-2.0463414,-2.93857,-1.8703423738479614
0.4,0.6,1.0,0,1,-1.5239396,-0.65444547,-1.9034375,-2.7930777,-1.7187249660491943
0.4,0.8,0.0,0,0,-2.36956,-2.161336,-0.74104804,-2.7241676,-1.999027967453003
0.4,0.8,0.0,0,1,-2.636482,-2.4888206,-0.94031364,-3.028474,-2.2735226154327393
0.4,0.8,0.25,0,0,-2.4553134,-1.2807747,-0.5728514,-0.9906551,-1.3248987197875977
0.4,0.8,0.25,0,1,-2.363709,-1.307471,-0.77357626,-1.0759614,-1.3801794052124023
0.4,0.8,0.5,0,0,-0.6793812,-0.39144355,-1.196055,-1.741103,-1.0019956827163696
0.4,0.8,0.5,0,1,-1.074282,-0.8326315,-1.6267154,-2.206646,-1.4350687265396118
0.4,0.8,0.75,0,0,-1.0348476,-1.8049561,-2.9744363,-3.8562143,-2.4176135063171387
0.4,0.8,0.75,0,1,-0.9228975,-1.6642348,-2.8464084,-3.699839,-2.2833447456359863
0.4,0.8,1.0,0,0,-3.0529828,-1.3656013,-4.46277,-2.132954,-2.7535767555236816
0.4,0.8,1.0,0,1,-2.8430898,-1.2318724,-4.3829327,-1.9845686,-2.6106159687042236
0.4,1.0,0.0,0,0,-4.705628,-2.5715945,-2.4767258,-1.9057645,-2.9149281978607178
0.4,1.0,0.0,0,1,-4.267468,-2.484871,-2.3666735,-1.6656107,-2.6961557865142822
0.4,1.0,0.25,0,0,-0.58862966,-0.7384718,-0.9335693,-3.739452,-1.5000306367874146
0.4,1.0,0.25,0,1,-0.19340676,-0.2799453,-0.4638726,-3.2179856,-1.0388026237487793
0.4,1.0,0.5,0,0,-1.7851079,-0.55272484,-0.9424742,-1.1340883,-1.1035988330841064
0.4,1.0,0.5,0,1,-1.8645728,-0.7675097,-1.2043709,-1.3886927,-1.3062865734100342
0.4,1.0,0.75,0,0,-1.7510546,-0.36881188,-1.1323878,-2.8521457,-1.5261000394821167
0.4,1.0,0.75,0,1,-1.7519008,-0.31337652,-1.0966631,-2.6514928,-1.4533584117889404
0.4,1.0,1.0,0,0,-1.1348195,-0.20811789,-0.1937758,-0.93867296,-0.6188465356826782
0.4,1.0,1.0,0,1,-1.8566062,-0.78122187,-0.8719678,-1.7057358,-1.3038829565048218
0.8,0.2,0.0,0,0,-0.11455514,-0.40657246,-0.44453335,-0.35277313,-0.3296085000038147
0.8,0.2,0.0,0,1,-0.12736456,-0.41409874,-0.45778492,-0.36459464,-0.3409607410430908
0.8,0.2,0.25,0,0,-0.23571533,-0.13459472,-0.1538039,-0.0944656,-0.1546448916196823
0.8,0.2,0.25,0,1,-0.377481,-0.36697093,-0.45938236,-0.36637288,-0.3925517797470093
0.8,0.2,0.5,0,0,-0.33702675,-0.45138028,-0.3619374,-0.3789567,-0.38232526183128357
0.8,0.2,0.5,0,1,-0.3093675,-0.39572963,-0.32062808,-0.33868596,-0.34110280871391296
0.8,0.2,0.75,0,0,-0.7733288,-0.3804613,-0.2869022,-0.6206906,-0.5153456926345825
0.8,0.2,0.75,0,1,-0.7072762,-0.32795033,-0.24646564,-0.5688353,-0.46263188123703003
0.8,0.2,1.0,0,0,-0.7463139,-0.6053379,-0.44755512,-0.4713584,-0.5676413178443909
0.8,0.2,1.0,0,1,-0.70315707,-0.54102904,-0.4478937,-0.48010373,-0.5430458784103394
0.8,0.4,0.0,0,0,-1.3677874,-1.6173474,-1.5264271,-2.5886135,-1.7750438451766968
0.8,0.4,0.0,0,1,-1.523375,-1.8227036,-1.6767883,-2.825318,-1.9620463848114014
0.8,0.4,0.25,0,0,-0.5764767,-0.8710301,-0.7088167,-0.9160702,-0.7680984139442444
0.8,0.4,0.25,0,1,-0.3320166,-0.7130925,-0.54033875,-0.68242365,-0.5669678449630737
0.8,0.4,0.5,0,0,-0.33716258,-0.26365432,-0.4490303,-0.63483727,-0.4211711287498474
0.8,0.4,0.5,0,1,-0.5375536,-0.49708652,-0.70602065,-0.8422837,-0.6457360982894897
0.8,0.4,0.75,0,0,-0.2794195,-0.5288212,-0.39760926,-0.2353224,-0.36029306054115295
0.8,0.4,0.75,0,1,-0.30664033,-0.5637093,-0.41513154,-0.26890212,-0.3885958194732666
0.8,0.4,1.0,0,0,-0.8365574,-0.42438886,-0.5092518,-0.34279484,-0.5282482504844666
0.8,0.4,1.0,0,1,-0.79747415,-0.37693557,-0.45218593,-0.28099042,-0.4768965244293213
0.8,0.6,0.0,0,0,-1.4233806,-0.92986864,-1.3119545,-1.3821936,-1.2618494033813477
0.8,0.6,0.0,0,1,-2.021848,-1.493575,-1.9310727,-1.9560269,-1.8506306409835815
0.8,0.6,0.25,0,0,-3.1829267,-4.1301146,-3.6799123,-2.34911,-3.3355157375335693
0.8,0.6,0.25,0,1,-3.2861547,-4.1769013,-3.7909055,-2.4814622,-3.4338560104370117
0.8,0.6,0.5,0,0,-1.7806277,-1.3411096,-1.2999902,-1.0538144,-1.3688855171203613
0.8,0.6,0.5,0,1,-1.7319118,-1.2898477,-1.234356,-0.9881251,-1.3110601902008057
0.8,0.6,0.75,0,0,-0.7341148,-0.98320085,-0.84405947,-0.6568383,-0.8045533895492554
0.8,0.6,0.75,0,1,-0.99774927,-1.243165,-1.1070551,-0.88354796,-1.0578793287277222
0.8,0.6,1.0,0,0,-6.106645,-5.9197807,-5.520226,-4.830872,-5.594380855560303
0.8,0.6,1.0,0,1,-5.9975758,-5.7855287,-5.4023857,-4.702293,-5.471945762634277
0.8,0.8,0.0,0,0,-1.836966,-1.7361624,-1.1233417,-1.6045032,-1.575243353843689
0.8,0.8,0.0,0,1,-1.8593286,-1.6984717,-1.1340945,-1.6361965,-1.582022786140442
0.8,0.8,0.25,0,0,-1.4445672,-1.4985034,-1.0730778,-1.8152897,-1.4578595161437988
